Participante,Ordem,Classificação,Tempo Gasto
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,69,neutra,4.05
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,70,positiva,3.66
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,71,positiva,4.77
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,72,positiva,2.16
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,73,positiva,27.76
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,74,positiva,1.96
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,75,positiva,2.79
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,76,positiva,3.22
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,77,positiva,6.53
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,78,positiva,3.65
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,79,neutra,4.1
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,80,positiva,3.11
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,81,positiva,4.92
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,82,positiva,2.88
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,83,negativa,6.69
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,84,neutra,6.23
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,85,positiva,2.54
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,86,positiva,4.05
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,87,positiva,2.01
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,88,neutra,5.58
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,89,positiva,5.06
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,90,positiva,4.72
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,91,positiva,2.86
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,92,positiva,1.69
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,93,positiva,4.77
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,94,positiva,4.17
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,95,negativa,70.19
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,96,neutra,6.05
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,97,positiva,2.65
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,98,positiva,1.9
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,99,neutra,49.54
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,100,neutra,2.59
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,101,positiva,4.18
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,102,positiva,25.97
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,103,negativa,4.29
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,104,positiva,1.8
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,105,negativa,3.85
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,106,positiva,2.08
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,107,positiva,2.8
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,108,positiva,4.96
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,109,positiva,3.83
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,110,positiva,2.52
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,111,positiva,3.85
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,112,negativa,8.13
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,113,positiva,6.82
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,114,neutra,4.55
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,115,neutra,8.7
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,116,neutra,5.21
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,117,positiva,4.54
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,118,negativa,6.73
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,119,negativa,3.9
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,120,positiva,11.82
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,121,positiva,4.53
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,122,positiva,2.85
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,123,neutra,5.06
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,124,neutra,2.23
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,125,positiva,1.54
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,126,positiva,2.71
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,127,positiva,2.01
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,128,positiva,1.21
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,129,positiva,1.42
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,130,neutra,5.48
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,131,positiva,2.52
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,132,positiva,6.76
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,133,positiva,3.78
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,134,positiva,1.74
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,135,positiva,4.1
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,136,positiva,1.62
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,137,positiva,8.95
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,138,negativa,2.54
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,139,positiva,2.01
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,140,negativa,7.77
e78fc7e4f67d1a8f1a2fcd1a8fa2c20a,141,neutra,3.76
