Participante,Ordem,Classificação,Tempo Gasto
9d4072d71ac656dbc367bc6c6ef7381a,137,positiva,2.75
9d4072d71ac656dbc367bc6c6ef7381a,138,positiva,1.77
9d4072d71ac656dbc367bc6c6ef7381a,139,positiva,2.38
9d4072d71ac656dbc367bc6c6ef7381a,140,positiva,1.68
9d4072d71ac656dbc367bc6c6ef7381a,141,positiva,1.91
9d4072d71ac656dbc367bc6c6ef7381a,142,positiva,4.81
9d4072d71ac656dbc367bc6c6ef7381a,143,neutra,6.22
9d4072d71ac656dbc367bc6c6ef7381a,144,positiva,3.59
9d4072d71ac656dbc367bc6c6ef7381a,145,positiva,1.84
9d4072d71ac656dbc367bc6c6ef7381a,146,neutra,2.4
9d4072d71ac656dbc367bc6c6ef7381a,147,negativa,2.3
9d4072d71ac656dbc367bc6c6ef7381a,148,positiva,1.96
9d4072d71ac656dbc367bc6c6ef7381a,149,positiva,5.26
9d4072d71ac656dbc367bc6c6ef7381a,150,neutra,10.68
bc2584302fffead698e1809107a60040,1,neutra,10.02
bc2584302fffead698e1809107a60040,2,positiva,4.89
bc2584302fffead698e1809107a60040,3,positiva,4.73
bc2584302fffead698e1809107a60040,4,positiva,6.47
bc2584302fffead698e1809107a60040,5,positiva,3.21
bc2584302fffead698e1809107a60040,6,negativa,7.55
bc2584302fffead698e1809107a60040,7,neutra,2.7
bc2584302fffead698e1809107a60040,8,positiva,3.16
bc2584302fffead698e1809107a60040,9,neutra,5.26
bc2584302fffead698e1809107a60040,10,neutra,5.44
bc2584302fffead698e1809107a60040,11,positiva,1.53
bc2584302fffead698e1809107a60040,12,positiva,8.21
bc2584302fffead698e1809107a60040,13,negativa,2.31
bc2584302fffead698e1809107a60040,14,negativa,4.01
bc2584302fffead698e1809107a60040,15,positiva,4.07
bc2584302fffead698e1809107a60040,16,neutra,6.15
bc2584302fffead698e1809107a60040,17,positiva,2.28
bc2584302fffead698e1809107a60040,18,neutra,1.99
bc2584302fffead698e1809107a60040,19,positiva,7.57
bc2584302fffead698e1809107a60040,20,negativa,5.37
bc2584302fffead698e1809107a60040,21,positiva,8.72
bc2584302fffead698e1809107a60040,22,positiva,4.28
bc2584302fffead698e1809107a60040,23,positiva,2.23
bc2584302fffead698e1809107a60040,24,positiva,2.57
bc2584302fffead698e1809107a60040,25,negativa,4.86
bc2584302fffead698e1809107a60040,26,positiva,6.15
bc2584302fffead698e1809107a60040,27,negativa,3.8
bc2584302fffead698e1809107a60040,28,negativa,3.58
bc2584302fffead698e1809107a60040,29,positiva,7.63
bc2584302fffead698e1809107a60040,30,negativa,5.43
bc2584302fffead698e1809107a60040,31,negativa,7.36
bc2584302fffead698e1809107a60040,32,positiva,4.46
bc2584302fffead698e1809107a60040,33,neutra,4.66
bc2584302fffead698e1809107a60040,34,positiva,1.59
bc2584302fffead698e1809107a60040,35,neutra,5.68
bc2584302fffead698e1809107a60040,36,negativa,5.4
bc2584302fffead698e1809107a60040,37,negativa,6.62
bc2584302fffead698e1809107a60040,38,positiva,4.25
bc2584302fffead698e1809107a60040,39,positiva,1.58
bc2584302fffead698e1809107a60040,40,neutra,6.17
bc2584302fffead698e1809107a60040,41,neutra,13.24
bc2584302fffead698e1809107a60040,42,neutra,3.62
bc2584302fffead698e1809107a60040,43,neutra,2.82
bc2584302fffead698e1809107a60040,44,positiva,2.61
bc2584302fffead698e1809107a60040,45,positiva,8.01
bc2584302fffead698e1809107a60040,46,positiva,4.68
bc2584302fffead698e1809107a60040,47,neutra,5.82
bc2584302fffead698e1809107a60040,48,neutra,3.07
bc2584302fffead698e1809107a60040,49,negativa,9.23
bc2584302fffead698e1809107a60040,50,negativa,3.96
bc2584302fffead698e1809107a60040,51,positiva,4.35
bc2584302fffead698e1809107a60040,52,positiva,3.46
bc2584302fffead698e1809107a60040,53,positiva,4.05
bc2584302fffead698e1809107a60040,54,negativa,7.34
bc2584302fffead698e1809107a60040,55,positiva,24.65
bc2584302fffead698e1809107a60040,56,positiva,121.02
bc2584302fffead698e1809107a60040,57,negativa,3.71
bc2584302fffead698e1809107a60040,58,positiva,2.64
bc2584302fffead698e1809107a60040,59,neutra,290.98
bc2584302fffead698e1809107a60040,60,positiva,4.75
bc2584302fffead698e1809107a60040,61,positiva,1.83
bc2584302fffead698e1809107a60040,62,positiva,4.83
bc2584302fffead698e1809107a60040,63,negativa,2.49
bc2584302fffead698e1809107a60040,64,negativa,2.44
bc2584302fffead698e1809107a60040,65,negativa,4.18
bc2584302fffead698e1809107a60040,66,negativa,1.51
bc2584302fffead698e1809107a60040,67,neutra,6.28
bc2584302fffead698e1809107a60040,68,negativa,5.78
bc2584302fffead698e1809107a60040,69,positiva,1.93
bc2584302fffead698e1809107a60040,70,neutra,4.09
bc2584302fffead698e1809107a60040,71,negativa,6.61
bc2584302fffead698e1809107a60040,72,negativa,12.15
bc2584302fffead698e1809107a60040,73,neutra,5.53
bc2584302fffead698e1809107a60040,74,neutra,4.13
bc2584302fffead698e1809107a60040,75,negativa,3.92
bc2584302fffead698e1809107a60040,76,positiva,3.48
